"","x"
"1",-0.00740801789374052
"2",0.223116573018181
"3",0.436796955596478
"4",0.0892244841129255
"5",0.332756516184706
"6",0.167672081312782
"7",0.351548162183921
"8",0.372340325810987
"9",0.162423061108506
"10",0.173742090527573
"11",0.357264745651053
"12",0.229186233132941
"13",0.358757703630151
"14",0.776623508251161
"15",0.75232187925751
"16",0.609076111418235
"17",0.704165935705253
"18",0.723087234798767
"19",0.765830882554807
"20",0.484737206474016
"21",0.373826874202503
"22",0.558675198405301
"23",0.446931212709188
"24",0.544288465350742
"25",0.822195373394076
"26",1.31166210903759
"27",0.9505462152842
"28",1.21762235240227
"29",1.23053776412115
"30",1.09658902003143
"31",1.07396652935008
"32",1.02935479562286
"33",0.731395346203788
"34",0.860420133875951
"35",0.998662722968759
"36",1.01138408961352
"37",1.1089598311485
"38",1.55467086916759
"39",1.26527636721641
"40",1.7622102918961
"41",1.85644282673206
"42",1.71495750472466
"43",1.52443954073805
"44",1.59043179118914
"45",1.20146906808074
"46",1.19271572773967
"47",0.992552216347865
"48",1.08507118548801
"49",1.31655605150243
"50",1.63716069452496
"51",2.03407643840374
"52",2.17709488743965
"53",2.27405002097193
"54",2.12558421049503
"55",2.31970395823894
"56",2.06625108023697
"57",1.75353232580167
"58",1.42572227523069
"59",1.4980469181189
"60",1.61379033210377
"61",1.62841310537119
"62",1.69854814730229
"63",2.23791864950503
"64",2.54913930710052
"65",2.46416619168288
"66",2.92027340551275
"67",2.98900792245426
"68",2.54372325444771
"69",2.19935180181887
"70",1.85353367439362
"71",1.70837625988964
"72",1.75691895459013
"73",1.76733110621781
"74",2.02334707175948
"75",2.4880108889358
"76",2.87521796935343
"77",2.98121235638481
"78",3.34791831732283
"79",3.50686771620802
"80",3.08058984023575
"81",3.02366500693787
"82",2.43192872655814
"83",2.09404934797788
"84",2.06881713268869
"85",1.96533713677683
"86",2.23574050625375
"87",2.71220531393056
"88",2.97739518559958
"89",3.44016263598289
"90",3.56436190846001
"91",3.93813710272068
"92",3.92666306701476
"93",3.50893731680942
"94",3.05216964177879
"95",2.70587622749927
"96",2.51906536828289
"97",2.34617743481805
"98",2.33850419495344
"99",2.60652958719742
"100",3.11461670676887
