"","x"
"1",-1.19579212641253
"2",3.16149743207942
"3",2.72499695600196
"4",1.34083324101312
"5",6.57879741920691
"6",-4.53820580192028
"7",-6.1710841353509
"8",15.0874571362522
"9",-1.78342556390446
"10",-6.53557828117405
"11",9.43396954908421
"12",-11.7037425082021
"13",-12.9273013674325
"14",-15.3662384643031
"15",10.0826354701577
"16",-6.89399615462543
"17",-24.3911181682541
"18",15.8945296461539
"19",17.9206126703849
"20",-0.570690659285212
"21",44.6835998600383
"22",-11.9444634994123
"23",-10.4869443308138
"24",-9.78736338333628
"25",22.1683448918224
"26",-12.1056249866995
"27",-38.8729607904582
"28",-3.18223922304171
"29",-15.860516474303
"30",58.2712761733015
"31",-21.4356653443909
"32",-28.1520471192809
"33",76.6638588720577
"34",11.037854179141
"35",-25.3403515535315
"36",-62.6803708675312
"37",36.4583447613676
"38",26.6411597329887
"39",-2.17244012867255
"40",-6.47819824018922
"41",-38.6496744786499
"42",10.8546848776454
"43",-10.3891371574691
"44",-25.7348332469037
"45",-15.6756269344487
"46",51.1960194182066
"47",-2.97377527787378
"48",62.8073710855097
"49",99.5668134396989
"50",7.12718581935532
"51",23.9988926386113
"52",-27.8188426958658
"53",35.6556428513676
"54",-32.4893281773943
"55",-39.7730804173184
"56",-44.6954623523619
"57",31.7532706342225
"58",49.6726389021944
"59",5.30820097897063
"60",20.7147589124941
"61",25.4346966834865
"62",52.1908632093266
"63",86.6371907108255
"64",74.2531432210493
"65",21.1629051191526
"66",-71.4811871702698
"67",79.5515818546135
"68",-67.6178760221061
"69",-56.0155478015056
"70",91.0456283657484
"71",80.5539227088489
"72",-69.5119165424915
"73",41.5262753280023
"74",-66.6163370167909
"75",-18.7730970225988
"76",-11.8494732485236
"77",195.647405613022
"78",-47.3249619393055
"79",-11.2497322817982
"80",-4.33258486149473
"81",47.5148007009129
"82",47.6416570765809
"83",-89.8621378981664
"84",59.0891869948189
"85",-96.6009557914984
"86",-67.9203453874034
"87",-168.689286480404
"88",-10.2058600489731
"89",-43.2192651335019
"90",-103.238942648012
"91",36.4425064501746
"92",18.048149156314
"93",-122.75976814323
"94",-19.2622579392984
"95",177.728678626622
"96",205.088839383221
"97",-166.301485279821
"98",129.642291071043
"99",170.911855163251
"100",-47.6717741342847
