X1,X2,y
13.31596,-5.47317,0.00000
16.70656,1.26700,0.00000
7.18348,7.29934,1.00000
-7.94940,-14.77444,1.00000
-5.96108,-18.68620,1.00000
-18.43790,10.19267,0.00000
-16.52766,-0.12551,1.00000
-2.59897,12.12831,1.00000
14.03823,9.28497,0.00000
3.13777,12.55466,1.00000
8.97411,-3.54143,1.00000
-16.35135,0.79520,1.00000
-9.14538,11.79051,1.00000
9.22379,-8.44223,0.00000
21.63709,-5.39316,1.00000
2.82885,11.76632,1.00000
-3.90811,-16.59568,1.00000
11.82241,-9.62754,0.00000
17.71370,-9.66371,1.00000
0.23118,-19.02183,1.00000
7.13058,16.22185,0.00000
14.00297,-14.39199,1.00000
-17.09309,8.33641,0.00000
1.50708,-12.73449,0.00000
-12.37562,6.64354,1.00000
-8.16615,10.96592,1.00000
-15.84408,-7.21086,1.00000
9.19937,0.96899,1.00000
15.57507,7.18832,0.00000
-16.10622,1.07028,1.00000
4.30845,-18.04555,1.00000
-2.43785,20.54073,0.00000
8.26679,6.45464,1.00000
15.67974,3.29416,0.00000
-4.45847,-19.05734,1.00000
11.35194,-9.56574,0.00000
-5.58254,-10.50207,0.00000
15.13401,-6.49406,0.00000
8.93782,-17.24607,1.00000
14.78426,-14.84720,1.00000
2.33852,-13.85925,0.00000
-2.70080,-11.94977,0.00000
5.22289,16.67954,0.00000
-3.55298,12.21604,1.00000
2.23669,11.99218,1.00000
-19.08445,8.22385,0.00000
0.70152,-6.45156,1.00000
19.69418,-7.94093,1.00000
-0.96481,5.72494,0.00000
-12.81750,-10.43445,1.00000
8.18478,-4.28316,1.00000
-10.73782,8.60724,1.00000
-14.27514,14.40411,0.00000
14.80988,13.16807,0.00000
14.16589,0.22444,0.00000
8.27059,7.56332,1.00000
0.79183,-18.22380,1.00000
2.27255,-12.55447,0.00000
7.65313,9.82355,1.00000
-4.98833,12.34459,1.00000
4.67867,-4.23358,1.00000
7.70827,15.65591,0.00000
